squirrel_id,latitude,longitude,year,month,day
4B-AM-1010-03,40.7697758333099,-73.9789952029637,2018,10,10
14H-AM-1007-02,40.7756111718355,-73.9666526554772,2018,10,7
11I-AM-1012-02,40.7728813350245,-73.9677423154682,2018,10,12
7H-AM-1006-04,40.769872094337,-73.971213385696,2018,10,6
36A-AM-1018-01,40.7954551238146,-73.9615751148595,2018,10,18
2D-AM-1007-06,40.7676321060669,-73.97780296909,2018,10,7
6A-PM-1012-04,40.771904101844,-73.978426472499,2018,10,12
3D-AM-1006-04,40.7683102295663,-73.9776854797916,2018,10,6
40A-PM-1014-06,40.7985003987784,-73.958837574505,2018,10,14
1B-PM-1019-06,40.7677455633932,-73.9801007327506,2018,10,19
18F-AM-1014-01,40.779136518298,-73.9669432929573,2018,10,14
16H-PM-1014-04,40.7764580036287,-73.9657288055011,2018,10,14
13D-AM-1014-06,40.7761532088521,-73.9708798496132,2018,10,14
33D-PM-1006-02,40.7915857030295,-73.9598340783572,2018,10,6
37H-PM-1006-02,40.7933003544685,-73.9533476020736,2018,10,6
12H-PM-1007-02,40.7742695912,-73.9677387336667,2018,10,7
21F-AM-1018-05,40.7814371834837,-73.9649611089685,2018,10,18
1G-AM-1006-02,40.7655231883678,-73.9746918762076,2018,10,6
18I-AM-1017-02,40.7776782114981,-73.9638590768396,2018,10,17
32B-AM-1017-02,40.7920255189467,-73.963100689807,2018,10,17
3D-PM-1010-12,40.7683813358343,-73.9768357173861,2018,10,10
35C-PM-1013-02,40.7943724108626,-73.9601486483164,2018,10,13
37B-PM-1013-05,40.7964417084985,-73.9597418366664,2018,10,13
41D-PM-1014-03,40.7985404965582,-73.954959868822,2018,10,14
7D-PM-1010-01,40.7720659696067,-73.9749446629706,2018,10,10
8G-PM-1017-01,40.7714145086361,-73.971322876671,2018,10,17
4C-PM-1010-06,40.7690453494383,-73.9773821135611,2018,10,10
1C-PM-1013-06,40.7678201535968,-73.9793103340869,2018,10,13
40G-AM-1007-02,40.7963759240504,-73.952526164386,2018,10,7
22G-AM-1018-05,40.7817401292083,-73.9632646049622,2018,10,18
23E-PM-1006-01,40.7839611840884,-73.9647284206644,2018,10,6
14D-AM-1014-16,40.7769096957616,-73.9709104380323,2018,10,14
11H-AM-1010-05,40.7724786961619,-73.9685429060839,2018,10,10
19F-PM-1017-04,40.7803011124382,-73.9652584749758,2018,10,17
30A-AM-1010-01,40.7908191782173,-73.9650499507011,2018,10,10
40D-PM-1013-05,40.7976258458604,-73.9561141662309,2018,10,13
11H-AM-1010-04,40.7724510558327,-73.9682803241007,2018,10,10
41D-AM-1014-05,40.7978431980204,-73.9553113771098,2018,10,14
9C-PM-1006-01,40.7731347452245,-73.9746802194012,2018,10,6
35A-AM-1014-04,40.7952875954297,-73.9617612388703,2018,10,14
16B-AM-1014-01,40.7794963354254,-73.9718474480919,2018,10,14
11A-PM-1013-01,40.7756257458036,-73.9756810453606,2018,10,13
38E-AM-1010-07,40.7951124076946,-73.9559677963727,2018,10,10
