squirrel_id,primary_colour,black,cinnamon,gray,white
D-22-17,Gray,False,True,False,True
D-22-18,Cinnamon,False,True,False,False
D-22-20,Gray,False,True,False,True
D-22-21,Gray,False,True,False,True
D-22-22,Gray,False,True,False,True
D-22-23,Gray,False,False,False,True
D-22-24,Gray,False,False,False,True
D-22-25,Gray,False,True,False,True
D-22-26,Gray,False,False,False,True
D-22-27,Gray,False,True,False,False
D-22-28,Gray,False,False,False,True
D-22-29,Gray,False,True,False,True
D-22-30,Gray,False,False,False,True
D-22-31,Cinnamon,False,False,False,True
D-22-32,Gray,False,True,False,True
D-22-33,Gray,False,True,False,False
D-22-34,Cinnamon,False,True,False,False
D-22-37,Gray,False,False,True,False
D-22-40,Cinnamon,False,False,False,True
D-22-41,Cinnamon,False,True,False,False
D-22-42,Gray,False,False,True,False
D-22-43,Gray,False,False,False,True
D-22-44,Gray,False,True,False,True
13E-AM-1017-05,Gray,False,True,False,False
11H-AM-1010-03,Cinnamon,False,False,False,True
11D-AM-1010-03,Gray,False,True,False,False
20B-PM-1013-05,Gray,False,False,False,True
36I-PM-1007-01,Gray,False,True,False,False
5C-PM-1010-09,Cinnamon,False,False,True,False
7H-AM-1006-05,Gray,False,True,False,False
16C-PM-1018-03,Gray,False,True,False,True
32A-PM-1013-03,Gray,False,True,False,False
17F-AM-1007-07,Gray,False,False,False,True
16I-AM-1008-01,Cinnamon,False,False,True,True
12I-AM-1013-01,Cinnamon,False,False,False,True
25A-AM-1013-04,Gray,False,False,False,True
15E-AM-1013-01,Gray,False,False,False,True
39G-PM-1013-06,Gray,False,True,False,False
29I-PM-1007-01,Gray,False,True,False,False
10A-PM-1014-01,Gray,True,True,False,True
22F-PM-1014-05,Gray,False,True,False,False
12B-AM-1007-01,Gray,False,True,False,False
33H-AM-1019-02,Gray,False,True,False,False
29C-AM-1007-06,Gray,False,True,False,False
31H-PM-1008-02,Gray,False,True,False,False
8H-AM-1017-06,Gray,False,True,False,False
34F-AM-1007-01,Gray,False,False,False,True
35C-PM-1013-03,Gray,False,True,False,False
2B-PM-1013-01,Gray,False,False,False,True
40B-AM-1019-03,Gray,False,False,False,True
