squirrel_id,latitude,longitude
29C-AM-1007-05,40.7888199519656,-73.9632993246327
34A-AM-1012-01,40.7943731722138,-73.9620542514749
33E-AM-1014-11,40.7913445531266,-73.958932543729
20E-AM-1014-01,40.7810709818696,-73.9659156108069
38C-AM-1019-08,40.7962862794303,-73.9582150734453
41D-PM-1014-05,40.7985282963244,-73.9553603438021
8I-PM-1013-06,40.7704148658294,-73.9693841004072
10F-PM-1019-08,40.7725630886784,-73.9708628933624
38A-PM-1013-04,40.7973274000224,-73.9598350385541
14E-AM-1008-11,40.7766940405403,-73.969784066769
7C-AM-1012-03,40.7717297058549,-73.9763593390732
5D-AM-1020-04,40.769288289111,-73.9759510842771
38F-PM-1013-03,40.7946730924872,-73.9548648518558
35A-PM-1013-07,40.7945431292846,-73.9615900833886
3F-AM-1006-11,40.7675726965985,-73.9743369068254
8B-PM-1012-01,40.7734803954589,-73.9768867959365
3D-PM-1010-06,40.7688793288864,-73.9771009024581
3E-PM-1008-02,40.768453603768,-73.9762227323096
4A-AM-1007-03,40.770638572864,-73.9794481602391
3H-AM-1008-01,40.7666920046704,-73.9721348050673
19C-PM-1018-02,40.7812018159499,-73.968807163616
15C-PM-1017-01,40.7787466095841,-73.9711001278389
17A-PM-1013-02,40.7810042827198,-73.972179947936
2A-PM-1019-06,40.7688535974878,-73.9809688694074
38A-AM-1019-05,40.7968698151479,-73.9601851468038
38F-AM-1018-03,40.7951312356844,-73.9550235589287
1B-PM-1019-02,40.7677207209798,-73.9799302952205
19A-PM-1013-02,40.7824040236981,-73.9704121989487
39D-PM-1012-01,40.7965185098695,-73.9564599077179
2A-AM-1010-09,40.7690192055926,-73.9801636400744
8H-AM-1017-03,40.7704067797932,-73.969628583287
31B-PM-1007-03,40.7915532640139,-73.962800448652
42I-PM-1014-01,40.797094356558,-73.9501457233643
15D-PM-1017-06,40.7778757544025,-73.9710674928906
5F-AM-1007-02,40.7690043677328,-73.9743509423821
35C-PM-1013-01,40.7943473161329,-73.9601988871514
2C-AM-1010-05,40.7676583475394,-73.9791217510656
26I-PM-1010-06,40.7848084865431,-73.9588339897601
19C-PM-1018-05,40.7817617696508,-73.9690174442945
20F-PM-1007-10,40.7811923229286,-73.9657764490284
4F-PM-1013-02,40.76787782717,-73.9748962681637
5E-AM-1008-01,40.7691479781207,-73.9745141185576
1E-AM-1006-01,40.7664424394736,-73.9775068915715
38C-PM-1014-08,40.7960853285059,-73.9577919365342
34A-PM-1013-01,40.7938048572403,-73.9628842960118
17D-AM-1008-07,40.7792841720164,-73.9687214684206
14D-PM-1019-16,40.7766521246153,-73.9710273070712
35A-PM-1013-03,40.7944097368153,-73.9618094076328
42C-PM-1013-06,40.7993692120774,-73.9566300789162
40E-PM-1017-01,40.7968302661402,-73.9551923408239
32D-PM-1006-08,40.7917265419842,-73.960642602756
30E-PM-1008-01,40.7893671772846,-73.9611434082667
15H-PM-1008-06,40.7756523577509,-73.9658867660358
12A-PM-1013-02,40.7765498215674,-73.974596903918
41I-PM-1017-01,40.7957700986293,-73.9507140045973
31D-AM-1014-01,40.7907417648701,-73.9615429203441
20F-PM-1007-12,40.7805339953372,-73.9653575758687
33D-AM-1017-09,40.7918405182594,-73.9595886063173
16D-AM-1007-06,40.7787189999566,-73.9694185786221
12G-AM-1012-05,40.7738993942891,-73.9690082314914
5C-PM-1010-08,40.7708185213129,-73.9768096953647
12F-PM-1007-10,40.7743975363958,-73.9703683510176
9I-AM-1014-04,40.7709272353572,-73.9691801791373
11H-AM-1010-02,40.7726867422002,-73.9681960138614
28D-AM-1012-06,40.7884180156055,-73.9628041577934
41A-PM-1007-01,40.7992119571657,-73.9587179613803
1I-PM-1012-04,40.7652601851275,-73.97296259363
41C-AM-1017-07,40.7982665347234,-73.9561432836863
12E-AM-1017-03,40.774951285041,-73.971314838366
33D-AM-1017-01,40.7916066137699,-73.960094705031
38E-AM-1010-11,40.7953393993803,-73.956289117157
3I-PM-1013-04,40.7659402627832,-73.972069937746
14G-AM-1012-01,40.7758602486862,-73.9671419119456
39F-AM-1014-01,40.7954322240004,-73.9542074814296
38G-PM-1020-07,40.7943889087123,-73.9543373703455
12F-PM-1007-11,40.7744632730919,-73.9701808122548
9I-AM-1014-01,40.7712540588951,-73.9689204258063
21B-PM-1017-01,40.7830532310766,-73.9692660977515
7G-PM-1018-06,40.7703685359842,-73.971525123573
34H-PM-1006-03,40.790858199891,-73.9551639847466
3F-PM-1013-05,40.7671940332258,-73.9751806727197
5C-PM-1010-06,40.7708936173356,-73.9769885189342
23F-PM-1013-04,40.7828712516396,-73.9637983513789
8D-AM-1007-01,40.7723124703937,-73.9735383602914
14E-PM-1017-03,40.7764608087703,-73.9705409446299
3B-PM-1007-04,40.7692693139328,-73.9789687905912
9B-AM-1010-07,40.774213409933,-73.9761799699276
2E-PM-1014-04,40.7674030330482,-73.9767835160078
32H-PM-1006-03,40.7893712398425,-73.9563473341712
5A-AM-1006-02,40.7714445258765,-73.9791767156268
4H-PM-1006-02,40.7672758037086,-73.9729105002306
4D-PM-1008-09,40.7694956875859,-73.9765306970303
21F-AM-1018-07,40.7816573808695,-73.9647845655965
15F-AM-1007-03,40.7766739029138,-73.9686800784941
4H-AM-1006-01,40.7669501343297,-73.9723736494597
12E-PM-1018-01,40.7750640173134,-73.9712187890707
29C-PM-1006-02,40.789191946875,-73.9631089011412
41B-AM-1010-11,40.7994216061391,-73.9576913492669
3F-PM-1013-04,40.7671662013861,-73.9753825640019
11H-AM-1010-09,40.7730766743452,-73.9682627382073
1B-PM-1019-05,40.7676540772339,-73.9802983138318
13E-PM-1008-08,40.7759094917104,-73.9697665830132
38H-AM-1019-01,40.7938634280159,-73.9533101544112
38C-PM-1014-07,40.7965342664074,-73.9576094432477
13D-AM-1014-05,40.7760553338671,-73.9711634340673
11E-PM-1012-02,40.77410578689,-73.9714298880357
7C-AM-1012-02,40.7717327360835,-73.9765027953575
16E-AM-1014-04,40.7777459102651,-73.9686756254868
35A-PM-1013-10,40.7945562907624,-73.9614659899028
3F-AM-1006-14,40.7676078308589,-73.9756889766089
32A-PM-1013-07,40.7926138443715,-73.963209639301
3F-PM-1013-06,40.7677319725044,-73.9747311312394
2A-AM-1010-05,40.7687265606227,-73.9809342290598
41E-PM-1013-02,40.797694218705,-73.9550350096938
5E-PM-1012-04,40.7698604918771,-73.9754536566013
13D-PM-1018-14,40.7760801911766,-73.9711120079542
14H-PM-1012-07,40.7756180893318,-73.9664054327771
9B-AM-1010-05,40.7737521167094,-73.9750618008099
30B-PM-1019-07,40.7904324693292,-73.9643507588008
27I-AM-1007-04,40.7849006107353,-73.9587439756541
41C-PM-1007-02,40.798556387711,-73.9565230963554
5E-AM-1008-07,40.7698398607941,-73.9753585157592
40B-PM-1014-04,40.7983695505584,-73.958607566971
32I-PM-1007-01,40.7889533029466,-73.9552595564798
29A-PM-1019-02,40.7905384124102,-73.9651132904127
42F-PM-1017-03,40.7982256930243,-73.953092053256
4D-PM-1008-13,40.7690960712994,-73.9772691210241
39C-PM-1006-04,40.7976287835027,-73.9579292340076
16B-PM-1017-01,40.7798049470745,-73.9714787178201
9A-AM-1013-06,40.7740672862953,-73.9765016413674
20E-AM-1014-02,40.7807271518813,-73.9661570478029
30I-PM-1006-04,40.7880317802766,-73.9568378330302
13D-AM-1014-01,40.7758965595198,-73.9709912560997
1I-PM-1012-03,40.7652951714745,-73.9728146482385
4C-AM-1006-05,40.7697207404744,-73.9772908667333
20B-PM-1013-06,40.782343340986,-73.9690832219322
3F-AM-1006-03,40.767013871509,-73.9751615527833
22F-PM-1014-02,40.7821766215675,-73.9649230271173
4H-PM-1006-01,40.7670816164986,-73.9728723853967
36F-PM-1012-03,40.7936663940365,-73.9565179671319
21D-PM-1008-04,40.7824346548278,-73.967466716152
9H-AM-1006-04,40.7711472794488,-73.9698246369929
1B-PM-1019-03,40.7678257384977,-73.9802842404016
22A-PM-1017-03,40.7840721191988,-73.969370141813
20F-PM-1007-11,40.7804699882574,-73.9653873284496
40F-PM-1006-02,40.796479421955,-73.9538475741188
5B-AM-1008-03,40.7704051056666,-73.9777124331985
33C-AM-1012-01,40.7923594366783,-73.9615396457996
34H-PM-1006-05,40.7911788152878,-73.955068474109
30F-PM-1007-01,40.7891382153733,-73.9597453664295
39E-AM-1018-05,40.7960097734603,-73.9558995737654
16A-PM-1019-05,40.7798000868804,-73.9730027200009
12F-AM-1020-04,40.7741105688757,-73.969720780557
