squirrel_id,approaches,indifferent,runs_from,watching
5D-PM-1018-03,False,True,False,True
14F-PM-1012-06,False,True,False,True
23F-AM-1018-01,False,True,False,True
39A-PM-1014-02,False,False,False,True
13A-PM-1014-03,False,False,True,True
10B-AM-1006-02,False,True,False,True
38B-AM-1019-01,False,False,True,True
40B-AM-1019-02,False,False,False,True
35D-PM-1013-04,False,False,False,True
19C-PM-1018-04,False,False,False,True
10F-PM-1019-12,False,False,True,True
40E-AM-1014-02,False,True,False,True
19B-AM-1019-02,False,True,True,False
41B-AM-1010-07,True,False,False,True
4G-AM-1006-02,False,True,False,False
12F-PM-1007-04,False,True,False,True
3B-AM-1010-08,False,True,False,False
38G-PM-1020-01,False,False,True,True
4D-PM-1008-06,False,True,False,True
3G-PM-1013-01,False,False,True,True
14G-PM-1013-01,False,False,False,True
5C-AM-1006-02,False,True,False,True
42H-AM-1019-02,False,True,False,True
38A-PM-1013-03,False,True,False,True
22C-AM-1013-03,False,False,True,False
36F-PM-1012-04,False,False,True,True
5C-AM-1006-03,False,True,False,True
10F-PM-1019-02,False,False,True,True
5I-PM-1008-01,False,False,False,True
21G-AM-1014-07,False,False,False,True
22B-PM-1014-05,False,False,False,False
3D-AM-1006-08,True,False,False,True
3E-PM-1008-03,False,False,True,True
17F-PM-1020-03,False,False,False,True
22D-PM-1012-04,False,True,False,True
42G-PM-1014-03,False,False,True,False
2H-AM-1006-02,True,False,False,True
36I-AM-1017-05,False,False,True,True
32B-AM-1017-03,True,True,True,True
37E-PM-1006-04,False,False,False,True
12B-AM-1007-02,False,True,False,True
14A-PM-1014-01,False,False,True,True
9B-PM-1013-07,False,True,False,True
8C-PM-1013-05,False,True,False,True
6B-PM-1017-04,False,False,False,True
5D-AM-1020-02,False,False,False,False
40A-AM-1010-04,False,True,True,True
4E-AM-1020-01,False,True,False,False
2D-PM-1012-02,True,False,False,True
6F-PM-1008-05,False,True,False,True
10B-PM-1014-02,False,False,False,True
3C-PM-1008-02,False,True,False,True
7F-AM-1008-02,False,False,True,True
38D-AM-1017-02,False,True,False,False
10C-PM-1013-04,False,True,False,True
26I-PM-1010-02,False,True,False,False
3D-AM-1006-03,True,False,False,False
37H-AM-1018-03,False,False,True,True
6A-AM-1006-06,False,False,False,True
32I-AM-1013-05,False,True,False,True
2E-PM-1014-05,False,True,False,True
5E-PM-1012-02,False,True,False,True
15F-AM-1007-09,False,False,True,True
31F-PM-1007-01,False,True,False,True
8B-PM-1012-03,False,False,True,True
23D-AM-1013-01,True,False,False,True
39H-PM-1013-01,False,True,False,True
30B-PM-1019-08,False,False,True,True
4F-PM-1013-04,False,True,False,True
35A-AM-1014-05,False,False,True,True
5A-PM-1010-01,False,False,False,True
37C-PM-1013-03,False,True,False,True
10G-PM-1017-06,False,True,False,True
37G-PM-1007-07,False,False,True,True
11G-AM-1012-01,False,True,False,True
20A-AM-1010-02,False,True,False,True
15A-PM-1017-01,False,True,False,False
16E-AM-1014-02,True,False,False,True
37E-PM-1006-06,False,True,False,True
22C-AM-1013-01,False,False,False,False
16F-PM-1013-02,False,False,True,True
8H-AM-1017-04,False,True,False,True
1G-PM-1010-01,False,True,False,True
20A-PM-1017-01,False,True,False,True
37E-PM-1006-09,True,False,False,False
35D-PM-1013-03,False,True,False,True
36I-AM-1017-06,False,True,False,True
3I-PM-1013-07,False,True,False,True
12G-PM-1007-04,False,False,True,True
4D-PM-1008-08,False,False,True,False
39H-AM-1007-02,False,True,False,True
8C-PM-1013-08,False,True,False,True
10I-AM-1010-03,False,True,False,True
32I-AM-1013-01,False,True,False,True
19B-PM-1018-05,False,True,False,True
38C-AM-1019-07,False,False,True,True
19H-AM-1010-05,False,False,True,True
32D-PM-1006-09,True,False,False,True
39G-PM-1013-04,False,False,False,True
38G-PM-1020-10,False,False,True,True
12A-PM-1013-04,False,True,False,False
19F-AM-1007-02,False,True,False,True
36E-AM-1013-03,False,True,False,True
32F-AM-1012-01,False,False,True,False
39G-PM-1013-07,False,True,False,True
21E-PM-1012-02,False,True,False,True
14D-AM-1014-03,False,True,False,True
39F-PM-1006-03,False,False,True,True
10F-PM-1019-11,False,False,True,True
27A-PM-1006-01,False,True,False,False
6A-AM-1006-03,False,False,False,True
27I-PM-1020-05,False,False,True,True
10A-PM-1014-04,False,False,True,True
14I-PM-1018-05,False,True,False,True
1H-AM-1012-01,True,False,True,True
30E-AM-1008-01,False,False,True,True
16A-PM-1019-04,False,True,False,True
8B-PM-1012-06,False,True,False,True
8F-PM-1012-03,False,True,False,False
11E-AM-1013-02,False,True,False,True
37G-PM-1007-09,False,False,False,True
15F-AM-1007-04,False,False,False,True
13E-AM-1017-08,False,False,False,True
14D-AM-1014-10,False,True,False,True
7H-AM-1006-06,False,True,False,True
41C-PM-1007-04,False,False,False,True
29B-PM-1010-05,False,True,False,True
15B-PM-1017-05,False,True,False,True
18I-AM-1017-03,False,True,False,True
12D-PM-1014-02,False,True,False,False
35E-PM-1006-02,True,False,False,True
32B-AM-1017-04,False,False,True,True
38C-AM-1019-01,False,False,True,True
10G-PM-1017-02,False,True,False,True
7A-AM-1006-02,False,False,True,True
32I-AM-1013-02,False,False,False,True
8C-PM-1013-04,False,True,False,True
13E-PM-1008-10,False,False,True,True
5E-AM-1008-09,False,True,False,True
39B-PM-1014-06,False,True,False,True
32D-PM-1006-07,False,True,False,True
8E-PM-1008-01,True,False,False,True
33E-PM-1012-01,False,False,True,True
22C-AM-1013-02,False,False,True,True
3B-PM-1007-01,False,False,False,False
40E-AM-1014-01,False,False,True,True
8E-PM-1008-08,False,False,False,True
2C-AM-1010-03,False,False,False,True
1B-AM-1012-12,False,True,False,True
38C-PM-1014-06,False,True,False,True
4I-PM-1007-03,False,False,False,False
12G-PM-1007-06,False,True,False,True
9B-PM-1013-10,False,True,False,True
22D-PM-1012-01,False,False,False,True
38A-PM-1013-01,False,False,True,True
14F-PM-1012-01,False,True,False,True
1D-AM-1006-09,False,True,False,True
3B-PM-1007-07,False,True,False,False
22G-PM-1018-03,False,True,False,False
27I-PM-1020-01,False,True,True,True
8H-PM-1014-03,False,False,False,True
7I-PM-1013-05,False,False,False,True
35E-PM-1006-03,False,True,False,True
1D-AM-1006-02,False,False,False,True
14H-PM-1012-01,True,False,False,True
14H-AM-1007-04,False,False,True,True
8I-PM-1013-01,False,True,False,True
9B-PM-1013-02,False,True,False,True
8B-PM-1012-08,False,True,False,True
13B-PM-1008-01,False,True,False,True
21G-AM-1014-02,False,True,False,True
10G-PM-1017-08,False,False,False,True
10B-PM-1014-01,False,False,False,True
9B-PM-1013-03,False,True,False,True
34H-AM-1007-01,False,False,False,True
7H-AM-1006-11,True,False,False,True
8E-PM-1008-05,False,False,False,True
4A-PM-1007-03,False,True,False,True
42F-PM-1017-02,False,True,False,False
33E-AM-1014-05,False,True,False,True
22F-AM-1007-05,False,True,False,True
5F-AM-1007-04,False,False,False,True
13D-PM-1018-08,False,True,False,True
18I-PM-1007-09,False,True,False,False
9F-PM-1014-04,False,True,False,True
12H-PM-1007-04,False,True,False,False
8F-PM-1012-05,False,False,False,True
13E-PM-1008-06,False,True,False,True
21F-AM-1018-02,False,True,False,True
31E-PM-1006-02,False,True,False,True
19F-PM-1017-01,False,True,False,True
6F-PM-1008-06,False,True,False,True
42D-PM-1013-03,False,True,False,True
13I-PM-1008-01,False,True,False,True
27A-AM-1008-02,False,False,True,True
24A-AM-1014-01,False,False,False,True
37D-AM-1018-01,False,True,False,True
1D-PM-1007-06,False,True,False,True
13D-PM-1018-02,False,True,False,True
36D-AM-1007-01,False,False,True,True
7H-AM-1006-15,False,True,False,True
39G-PM-1013-05,False,False,False,True
12F-PM-1007-05,False,True,False,True
8I-AM-1006-08,False,False,False,True
12F-AM-1020-06,False,False,False,True
42D-PM-1013-01,True,True,False,True
38D-PM-1006-01,False,False,False,True
16A-PM-1019-07,True,False,False,True
4B-AM-1010-03,False,True,False,True
14H-AM-1007-02,False,True,False,False
11I-AM-1012-02,False,True,False,True
7H-AM-1006-04,False,True,False,True
36A-AM-1018-01,False,True,False,False
2D-AM-1007-06,False,True,False,True
6A-PM-1012-04,False,False,False,True
3D-AM-1006-04,False,False,True,True
40A-PM-1014-06,False,False,False,True
1B-PM-1019-06,False,True,False,True
18F-AM-1014-01,False,True,False,True
16H-PM-1014-04,False,True,False,True
13D-AM-1014-06,False,False,True,True
33D-PM-1006-02,False,False,True,True
37H-PM-1006-02,False,False,True,True
12H-PM-1007-02,False,True,False,False
21F-AM-1018-05,False,False,True,True
1G-AM-1006-02,False,True,False,True
18I-AM-1017-02,False,False,True,True
32B-AM-1017-02,False,False,True,True
3D-PM-1010-12,False,False,False,True
35C-PM-1013-02,True,False,False,True
37B-PM-1013-05,False,True,False,True
41D-PM-1014-03,False,False,False,True
7D-PM-1010-01,False,False,False,True
8G-PM-1017-01,False,True,False,True
4C-PM-1010-06,False,False,True,True
1C-PM-1013-06,False,False,False,True
40G-AM-1007-02,False,True,False,True
22G-AM-1018-05,False,True,False,True
23E-PM-1006-01,False,False,True,True
14D-AM-1014-16,False,True,False,True
11H-AM-1010-05,False,True,False,True
19F-PM-1017-04,False,False,True,True
30A-AM-1010-01,False,False,True,True
40D-PM-1013-05,False,False,True,True
11H-AM-1010-04,False,False,False,True
41D-AM-1014-05,False,True,False,True
